order_id,date_key,customer_key,product_key,region_key,salesperson_key,quantity,gross_revenue,discount_amount,profit_amount
ORD-000000001,20230708,53,56,3,16,1,537.97,26.9,92.85
ORD-000000002,20230831,28,114,4,23,2,499.68,0.0,146.42
ORD-000000003,20240704,13,11,2,9,3,1032.54,0.0,312.69
ORD-000000004,20251002,55,139,2,11,1,274.86,27.49,52.72
ORD-000000005,20230806,6,133,1,1,5,2365.34,0.0,255.91
ORD-000000006,20230612,6,150,1,1,1,172.21,0.0,29.52
ORD-000000007,20240516,10,31,2,9,2,407.5,20.38,63.53
ORD-000000008,20230615,78,124,2,9,2,671.21,33.56,157.08
ORD-000000009,20240619,74,73,1,5,1,144.39,14.44,22.33
ORD-000000010,20240210,43,103,3,15,1,357.25,35.73,40.96
ORD-000000011,20250623,22,81,2,11,2,1098.85,0.0,269.78
ORD-000000012,20231211,31,138,3,16,1,282.64,28.26,46.38
ORD-000000013,20240105,15,5,3,17,2,258.05,0.0,52.57
ORD-000000014,20250614,66,38,2,9,1,71.21,10.68,15.31
ORD-000000015,20230228,36,84,1,4,2,641.26,64.13,88.27
ORD-000000016,20240105,44,102,3,15,2,443.46,0.0,39.82
ORD-000000017,20250802,6,118,3,14,2,636.43,0.0,197.2
ORD-000000018,20240702,52,150,3,16,2,369.12,0.0,108.94
ORD-000000019,20230908,7,27,2,10,3,1074.67,0.0,328.62
ORD-000000020,20250129,92,118,3,16,4,1218.8,60.94,133.41
ORD-000000021,20240217,12,88,1,5,3,179.39,8.97,20.17
ORD-000000022,20241003,93,75,2,12,1,358.6,0.0,40.05
ORD-000000023,20230401,42,50,2,8,3,255.34,0.0,64.97
ORD-000000024,20230406,76,73,2,8,3,469.45,46.95,74.45
ORD-000000025,20251010,40,40,1,3,2,1253.45,62.67,299.43
ORD-000000026,20241006,90,112,3,17,2,473.3,0.0,111.77
ORD-000000027,20230801,85,47,3,14,2,1494.42,0.0,166.34
ORD-000000028,20240616,19,113,2,11,1,32.55,3.25,4.03
ORD-000000029,20230210,25,22,1,3,1,512.62,0.0,102.23
ORD-000000030,20240816,63,142,3,18,4,2104.91,0.0,569.82
ORD-000000031,20240503,62,120,2,9,2,102.28,0.0,13.78
ORD-000000032,20240114,36,135,2,11,1,61.95,3.1,10.71
ORD-000000033,20230920,27,82,1,2,3,168.28,16.83,14.53
ORD-000000034,20230724,77,95,2,7,4,3115.03,0.0,757.53
ORD-000000035,20240620,26,47,1,4,4,2423.14,0.0,313.99
ORD-000000036,20230719,78,91,2,8,3,1662.07,83.1,450.28
ORD-000000037,20231228,79,41,2,10,3,287.92,14.4,59.85
ORD-000000038,20230113,11,87,1,6,4,2055.54,0.0,520.75
ORD-000000039,20230108,40,80,1,5,5,873.03,87.3,142.2
ORD-000000040,20241110,74,99,1,3,1,18.76,0.0,2.71
ORD-000000041,20230125,84,58,1,3,2,1203.5,60.18,281.37
ORD-000000042,20250923,100,95,1,5,3,1812.45,181.25,476.68
ORD-000000043,20241125,21,115,2,10,3,477.51,23.88,118.34
ORD-000000044,20251123,72,22,2,11,1,591.43,59.14,78.92
ORD-000000045,20230125,89,12,1,4,3,1342.63,67.13,220.46
ORD-000000046,20251231,85,70,2,11,1,235.33,0.0,66.41
ORD-000000047,20250618,78,84,2,8,3,924.57,0.0,286.36
ORD-000000048,20251212,84,32,1,1,1,479.54,23.98,140.48
ORD-000000049,20240425,22,38,1,4,2,167.62,0.0,16.11
ORD-000000050,20251030,26,78,1,2,1,469.85,23.49,44.44
ORD-000000051,20250510,74,6,1,2,4,448.85,0.0,49.66
ORD-000000052,20250626,96,54,1,6,5,1637.19,0.0,307.07
ORD-000000053,20240206,44,72,1,6,1,81.54,8.15,17.4
ORD-000000054,20240930,95,52,2,8,1,296.0,0.0,63.99
ORD-000000055,20241216,23,18,1,6,1,510.12,76.52,108.04
ORD-000000056,20241019,23,105,1,2,5,2371.35,0.0,421.38
ORD-000000057,20250814,1,4,1,1,1,288.57,14.43,35.93
ORD-000000058,20230425,54,105,2,12,2,1370.23,0.0,291.78
ORD-000000059,20231102,76,72,1,6,3,322.0,0.0,72.47
ORD-000000060,20250826,64,13,3,15,3,2036.2,203.62,339.05
ORD-000000061,20230503,5,58,1,2,1,546.47,54.65,155.25
ORD-000000062,20240427,60,68,3,13,3,106.5,0.0,24.39
ORD-000000063,20230328,91,43,1,1,1,328.55,0.0,67.35
ORD-000000064,20240425,15,21,1,2,4,1473.0,73.65,300.22
ORD-000000065,20250411,93,110,1,4,1,342.47,0.0,70.16
ORD-000000066,20250404,90,110,2,8,1,306.7,0.0,70.99
ORD-000000067,20230708,36,120,2,11,3,119.02,0.0,30.65
ORD-000000068,20240310,75,97,1,3,2,512.0,51.2,80.86
ORD-000000069,20241114,85,134,1,1,4,233.96,0.0,46.64
ORD-000000070,20250502,99,80,1,3,2,330.48,0.0,65.14
ORD-000000071,20231130,76,101,3,15,3,1515.79,151.58,350.74
ORD-000000072,20250819,23,26,3,15,1,405.6,0.0,118.89
ORD-000000073,20230104,73,44,1,6,3,1480.43,74.02,259.13
ORD-000000074,20240831,28,46,2,7,2,782.96,39.15,119.35
ORD-000000075,20230204,57,91,4,24,1,382.8,0.0,87.62
ORD-000000076,20231101,74,46,3,17,1,276.07,41.41,57.5
ORD-000000077,20251105,76,79,2,10,1,574.49,57.45,126.05
ORD-000000078,20240301,19,65,1,2,3,1245.2,0.0,287.97
ORD-000000079,20230614,56,40,2,8,1,634.57,31.73,74.04
ORD-000000080,20240316,79,64,1,6,3,2221.48,111.07,628.79
ORD-000000081,20250806,6,65,2,10,1,539.23,53.92,137.93
ORD-000000082,20250919,55,111,2,11,2,66.56,0.0,8.6
ORD-000000083,20240403,38,134,1,3,1,54.61,0.0,14.94
ORD-000000084,20251012,80,93,4,19,1,417.77,62.67,89.15
ORD-000000085,20240218,16,129,1,5,2,602.67,0.0,171.51
